Prefix|Security Identifier|CUSIP|Security Factor Date|Security Factor|Payment Delay Days|Security Data Correction Indicator|Security Status Indicator|Security Notification Indicator|Security Description|Issuer|Issue Date|Maturity Date|Updated Longest Maturity Date|Issuance Investor Security UPB|Current Investor Security UPB|Unconverted WA Net Interest Rate|WA Issuance Interest Rate|WA Current Interest Rate|WA Net Accrual Interest Rate|WA Loan Term|WA Issuance Remaining Months to Maturity|WA Current Remaining Months to Maturity|WA Loan Age|WA Mortgage Loan Amount|Average Mortgage Loan Amount|WA Loan-To-Value (LTV)|WA Combined Loan-To-Value (CLTV)|WA Debt-To-Income (DTI)|WA Borrower Credit Score|Filler|Filler|Loan Count|Third Party Origination UPB Percent|Seller Name|Seller City|Seller State|Servicer Name|Servicer City|Servicer State|Involuntary Loan Removal (Prior Month UPB)|Involuntary Loan Removal (Loan Count)|Eligible for Resecuritization|Notes|Notes Ongoing|Interest Only Security Indicator|WA Months to Amortization|Prepayment Penalty Indicator|Reduced Minimum Servicing Indicator|Subtype|Index|WA Mortgage Margin|WA MBS PC Margin|Interest Rate Adjustment Frequency|Interest Rate Lookback|Payment Adjustment Frequency|Payment Lookback|Convertibility Indicator|Negative Amortization Indicator|Negative Amortization Factor|WA Negative Amortization Limit|Initial Fixed Rate Period|First Rate Adjustment Date|First Payment Adjustment Date|WA Months to Next Rate Adjustment Date|WA Life Interest Rate Ceiling|WA Net Life Interest Rate Ceiling|WA Life Interest Rate Floor|WA Net Life Interest Rate Floor|Initial Interest Rate Cap Up %|Initial Interest Rate Cap Down %|Periodic Interest Rate Cap Up %|Periodic Interest Rate Cap Down %|Initial Step Fixed-Rate Period|Step Rate Adjustment Frequency|Next Step Rate Adjustment Date|WA Months to Next Step Rate Adjustment|Periodic Step Rate Cap Up %|WA Origination Mortgage Loan Amount|Average Origination Mortgage Loan Amount|WA Origination Interest Rate|WA Origination Loan Term|WA Origination Loan-To-Value (LTV)|WA Origination Combined Loan-To-Value (CLTV)|WA Origination Debt-To-Income (DTI)|WA  Origination Credit Score|Filler|Filler|Origination Third Party Origination UPB Percent|WA Estimated Loan-To-Value (ELTV)|WA Updated Credit Score|WA Original Interest Only Term|WA Original Balloon Term|WA Remaining Amortization Term|WA Debt Service Coverage Ratio (DSCR)|Interest Accrual Method|Prepayment Penalty Provision|Green Advantage|Converted WA Net Interest Rate|Green Indicator
WA|WA0201|3132WRF81|052026|0.73025018|55|N|A|7|FRPC 03.2000 WA-WA0201|FRE|07012015|072028|072028|11304263.00|8254940.11|3.200|3.520|3.520||360|156|26|154|11750000.00|11750000.00|16|16|||||1||Berkadia Commercial Mortgage LLC|Horsham|PA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||N|N|||||||||||||||||||||||||||||||||||||||||||000|180|206|00006.20|30/360|YM(173) 1%(3) O(4)|N/A||
WA|WA0203|3132WRGA5|052026|0.78711345|55|N|A|7|FRPC 03.0400 WA-WA0203|FRE|07012016|102029|102029|315938951.00|248679798.28|3.040|4.670|4.670||360|159|41|139|325000000.00|325000000.00|74|74|||||1||Wells Fargo Bank, N.A.|Des Moines|IA|Wells Fargo Bank, National Association|West Des Moines|IA|0.00|0|Y|0||N||N|N|||||||||||||||||||||||||||||||||||||||||||000|180|221|00001.37|30/360|YM(173) 1%(3) O(4)|N/A||
WA|WA0204|3132WRGB3|052026|0.87026209|55|N|A|7|FKPC 04.9600 WA-WA0204|FRE|04012019|032032|032032|1214294.00|1056754.03|4.960|5.570|5.570||360|155|70|110|1250000.00|1250000.00|74||||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|180|250|00002.39|30/360|YM1%(177) O(3)|N/A||
WA|WA0205|3132WRGC1|052026|0.87392610|55|N|A|7|FKPC 05.0400 WA-WA0205|FRE|04012019|062032|062032|682777.00|596696.64|5.040|5.650|5.650||360|158|73|107|700000.00|700000.00|34|34|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|180|253|00001.93|30/360|YM1%(177) O(3)|N/A||
WA|WA0206|3132WRGD9|052026|0.86287425|55|N|A|7|FKPC 05.3700 WA-WA0206|FRE|04012019|092030|092030|5713261.00|4929825.81|5.370|5.980|5.980||360|137|52|128|6000000.00|6000000.00|36|36|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|180|232|00001.60|30/360|YM1%(177) O(3)|N/A||
WA|WA0301|3132WRKC6|052026|0.84801752|55|N|A|7|FKPC 07.1300 WA-WA0301|FRE|04012019|012030|012030|917817.00|778324.90|7.130|7.740|7.740||360|129|44|172|1000000.00|1000000.00|38|38|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|188|00001.09|30/360|YM1%(180) 1%(33) O(3)|N/A||
WA|WA0303|3132WRKE2|052026|0.88095090|55|N|A|7|FKPC 05.9100 WA-WA0303|FRE|04012019|082034|082034|1084854.00|955703.11|5.910|6.520|6.520||360|184|99|117|1120000.00|1120000.00|66|66|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|243|00001.23|30/360|YM1%(180) 1%(33) O(3)|N/A||
WA|WA0304|3132WRKF9|052026|0.86753362|55|N|A|7|FKPC 05.0700 WA-WA0304|FRE|04012019|092034|092034|1109477.00|962508.60|5.070|5.680|5.680||360|185|100|116|1150000.00|1150000.00|42|42|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|244|00002.64|30/360|YM1%(180) 1%(33) O(3)|N/A||
WA|WA0305|3132WRKG7|052026|0.85710701|55|N|A|7|FKPC 06.7900 WA-WA0305|FRE|04012019|022031|022031|554775.00|475501.54|6.790|7.400|7.400||360|142|57|159|597000.00|597000.00|57|57|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|201|00001.30|30/360|YM1%(180) 1%(33) O(3)|N/A||
WA|WA0306|3132WRKH5|052026|0.87487028|55|N|A|7|FKPC 04.4900 WA-WA0306|FRE|04012019|092036|092036|594982.00|520532.07|4.490|5.100|5.100||360|209|124|92|600000.00|600000.00|40|40|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|268|00001.36|30/360|YM1%(180) 1%(33) O(3)|N/A||
WA|WA0308|3132WRKK8|052026|0.86441870|55|N|A|7|FKPC 04.8500 WA-WA0308|FRE|04012019|102034|102034|1157564.00|1000619.97|4.850|5.460|5.460||360|186|101|115|1200000.00|1200000.00|50||||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|245|00002.81|30/360|YM1%(180) 1%(33) O(3)|N/A||
WA|WA0309|3132WRKL6|052026|0.85195131|55|N|A|7|FKPC 05.3100 WA-WA0309|FRE|04012019|102032|102032|1711452.00|1458073.77|5.310|5.920|5.920||360|162|77|139|1825000.00|1825000.00|64|64|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|221|00001.24|30/360|L(1) YM1%(180) 1%(32) O(3)|N/A||
WA|WA0310|3132WRKM4|052026|0.87548535|55|N|A|7|FKPC 05.4400 WA-WA0310|FRE|04012019|112034|112034|1038277.00|908996.30|5.440|6.050|6.050||360|187|102|114|1071000.00|1071000.00|36|36|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|246|00002.70|30/360|YM1%(180) 1%(33) O(3)|N/A||
WA|WA0311|3132WRKN2|052026|0.88334394|55|N|A|7|FKPC 05.0900 WA-WA0311|FRE|04012019|062036|062036|735761.00|649930.02|5.090|5.700|5.700||360|206|121|95|744000.00|744000.00|52|52|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|265|00002.41|30/360|YM1%(180) 1%(33) O(3)|N/A||
